cliente_ID,contrato,fatura_online,forma_pagamento,gastos_mensais,gasto_total
0002-ORFBO,One year,Yes,Mailed check,65.6,593.3
0003-MKNFE,Month-to-month,No,Mailed check,59.9,542.4
0004-TLHLJ,Month-to-month,Yes,Electronic check,73.9,280.85
0011-IGKFF,Month-to-month,Yes,Electronic check,98.0,1237.85
0013-EXCHZ,Month-to-month,Yes,Mailed check,83.9,267.4
0013-MHZWF,Month-to-month,Yes,Credit card (automatic),69.4,571.45
0013-SMEOE,Two year,Yes,Bank transfer (automatic),109.7,7904.25
0014-BMAQU,Two year,Yes,Credit card (automatic),84.65,5377.8
0015-UOCOJ,Month-to-month,Yes,Electronic check,48.2,340.35
0016-QLJIS,Two year,Yes,Mailed check,90.45,5957.9
0017-DINOC,Two year,No,Credit card (automatic),45.2,2460.55
0017-IUDMW,Two year,Yes,Credit card (automatic),116.8,8456.75
0018-NYROU,Month-to-month,Yes,Electronic check,68.95,351.5
0019-EFAEP,Two year,Yes,Bank transfer (automatic),101.3,7261.25
0019-GFNTW,Two year,No,Bank transfer (automatic),45.05,2560.1
0020-INWCK,Two year,Yes,Credit card (automatic),95.75,6849.4
0020-JDNXP,One year,No,Mailed check,61.25,1993.2
0021-IKXGC,Month-to-month,Yes,Electronic check,72.1,72.1
0022-TCJCI,One year,No,Credit card (automatic),62.7,2791.5
0023-HGHWL,Month-to-month,Yes,Electronic check,25.1,25.1
0023-UYUPN,One year,No,Electronic check,25.2,1306.3
0023-XUOPT,Month-to-month,No,Electronic check,94.1,1215.6
0027-KWYKW,Month-to-month,Yes,Electronic check,83.75,1849.95
0030-FNXPP,Month-to-month,No,Mailed check,19.85,57.2
0031-PVLZI,Month-to-month,No,Mailed check,20.35,76.35
0032-PGELS,Month-to-month,No,Bank transfer (automatic),30.5,30.5
0036-IHMOT,One year,Yes,Bank transfer (automatic),103.7,5656.75
0040-HALCW,Two year,No,Credit card (automatic),20.4,1090.6
0042-JVWOJ,One year,Yes,Bank transfer (automatic),19.6,471.85
0042-RLHYP,Two year,No,Bank transfer (automatic),19.7,1396.9
0047-ZHDTW,Month-to-month,Yes,Bank transfer (automatic),79.0,929.3
0048-LUMLS,One year,No,Credit card (automatic),91.2,3247.55
0048-PIHNL,One year,No,Bank transfer (automatic),20.45,900.9
0052-DCKON,One year,No,Bank transfer (automatic),115.8,7942.15
0052-YNYOT,One year,No,Electronic check,20.55,1343.4
0056-EPFBG,Two year,Yes,Credit card (automatic),39.4,825.4
0057-QBUQH,Two year,Yes,Electronic check,25.1,1070.15
0058-EVZWM,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6
0060-FUALY,Month-to-month,Yes,Electronic check,94.75,5597.65
0064-SUDOG,Two year,No,Bank transfer (automatic),20.3,224.5
0064-YIJGF,Month-to-month,Yes,Bank transfer (automatic),75.75,1929
0067-DKWBL,Month-to-month,Yes,Electronic check,49.25,91.1
0068-FIGTF,One year,No,Mailed check,78.2,2078.95
0071-NDAFP,Two year,No,Credit card (automatic),25.5,630.6
0074-HDKDG,One year,Yes,Bank transfer (automatic),61.6,1611
0076-LVEPS,Month-to-month,Yes,Mailed check,45.0,1242.45
