cliente_ID,desistencia,genero,idade_>=_65,tem_parceiro,tem_dependentes
0002-ORFBO,No,Female,0,Yes,Yes
0003-MKNFE,No,Male,0,No,No
0004-TLHLJ,Yes,Male,0,No,No
0011-IGKFF,Yes,Male,1,Yes,No
0013-EXCHZ,Yes,Female,1,Yes,No
0013-MHZWF,No,Female,0,No,Yes
0013-SMEOE,No,Female,1,Yes,No
0014-BMAQU,No,Male,0,Yes,No
0015-UOCOJ,No,Female,1,No,No
0016-QLJIS,No,Female,0,Yes,Yes
0017-DINOC,No,Male,0,No,No
0017-IUDMW,No,Female,0,Yes,Yes
0018-NYROU,No,Female,0,Yes,No
0019-EFAEP,No,Female,0,No,No
0019-GFNTW,No,Female,0,No,No
0020-INWCK,No,Female,0,Yes,Yes
0020-JDNXP,No,Female,0,Yes,Yes
0021-IKXGC,No,Female,1,No,No
0022-TCJCI,Yes,Male,1,No,No
0023-HGHWL,Yes,Male,1,No,No
0023-UYUPN,No,Female,1,Yes,No
0023-XUOPT,Yes,Female,0,Yes,No
0027-KWYKW,No,Female,0,Yes,Yes
0030-FNXPP,No,Female,0,No,No
0031-PVLZI,Yes,Female,0,Yes,Yes
0032-PGELS,Yes,Female,0,Yes,Yes
0036-IHMOT,No,Female,0,Yes,Yes
0040-HALCW,No,Male,0,Yes,Yes
0042-JVWOJ,No,Male,0,No,No
0042-RLHYP,No,Female,0,Yes,Yes
0047-ZHDTW,,Female,0,No,No
0048-LUMLS,No,Male,0,Yes,Yes
0048-PIHNL,No,Female,0,Yes,No
0052-DCKON,No,Male,0,Yes,No
0052-YNYOT,No,Female,0,No,No
0056-EPFBG,No,Male,0,Yes,Yes
0057-QBUQH,No,Female,0,No,Yes
0058-EVZWM,No,Female,0,Yes,No
0060-FUALY,No,Female,0,Yes,No
0064-SUDOG,No,Female,0,Yes,Yes
0064-YIJGF,No,Male,0,Yes,Yes
0067-DKWBL,Yes,Male,1,No,No
0068-FIGTF,No,Female,0,No,No
0071-NDAFP,No,Male,0,Yes,Yes
0074-HDKDG,No,Male,0,Yes,Yes
0076-LVEPS,No,Male,0,No,Yes
0078-XZMHT,No,Male,0,Yes,No
0080-EMYVY,No,Female,0,No,No
0080-OROZO,No,Female,0,No,No
0082-LDZUE,No,Male,0,No,No
0082-OQIQY,No,Male,0,No,No
0083-PIVIK,No,Male,0,No,No
0089-IIQKO,No,Female,0,Yes,Yes
0093-EXYQL,No,Female,1,No,No
0093-XWZFY,Yes,Male,0,No,No
0094-OIFMO,Yes,Female,1,No,No
0096-BXERS,No,Female,0,Yes,No
0096-FCPUF,No,Male,0,No,No
0098-BOWSO,No,Male,0,No,No
0100-DUVFC,No,Male,1,Yes,No
0103-CSITQ,No,Female,0,Yes,No
0104-PPXDV,No,Male,0,Yes,No
0106-GHRQR,No,Male,0,No,No
0106-UGRDO,No,Female,0,Yes,No
0107-WESLM,Yes,Male,0,No,No
0107-YHINA,Yes,Male,0,No,Yes
0111-KLBQG,No,Male,1,Yes,Yes
0112-QAWRZ,No,Male,0,Yes,Yes
0112-QWPNC,Yes,Male,0,Yes,No
0114-IGABW,No,Female,0,Yes,No
0114-PEGZZ,No,Female,0,No,No
0114-RSRRW,No,Female,0,Yes,No
0115-TFERT,Yes,Male,0,Yes,No
0117-LFRMW,Yes,Male,0,Yes,Yes
0118-JPNOY,No,Female,1,No,No
0120-YZLQA,,Male,0,No,No
0121-SNYRK,No,Male,0,No,No
0122-OAHPZ,Yes,Female,0,No,No
0123-CRBRT,No,Female,0,Yes,Yes
0125-LZQXK,Yes,Male,0,No,No
0128-MKWSG,No,Female,0,No,Yes
0129-KPTWJ,No,Male,0,Yes,No
0129-QMPDR,No,Male,0,Yes,Yes
0130-SXOUN,No,Male,0,No,No
0133-BMFZO,Yes,Female,0,No,No
0134-XWXCE,No,Female,1,No,No
0135-NMXAP,Yes,Female,0,No,No
0136-IFMYD,No,Male,1,Yes,No
0137-OCGAB,Yes,Female,0,No,No
0137-UDEUO,Yes,Female,0,No,No
