cliente_ID,desistencia,genero,idade_>=_65,tem_parceiro,tem_dependentes,assinatura_provedor_internet,assinatura_adicional_seguranca_online,assinatura_adicional_backup_online,assinatura_adicional_protecao_dispositivo,assinatura_adicional_suporte_tecnico_menos_tempo_espera,assinatura_TV_cabo,assinatura_streaming_filmes,contrato,fatura_online,forma_pagamento,gastos_mensais,gastos_diarios,gasto_total
0002-ORFBO,No,Female,0,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,2.19,593.3
0003-MKNFE,No,Male,0,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,2.0,542.4
0004-TLHLJ,Yes,Male,0,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,2.46,280.85
0011-IGKFF,Yes,Male,1,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,3.27,1237.85
0013-EXCHZ,Yes,Female,1,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,2.8,267.4
0013-MHZWF,No,Female,0,No,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,2.31,571.45
0013-SMEOE,No,Female,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,3.66,7904.25
0014-BMAQU,No,Male,0,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,2.82,5377.8
0015-UOCOJ,No,Female,1,No,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,1.61,340.35
0016-QLJIS,No,Female,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,3.02,5957.9
0017-DINOC,No,Male,0,No,No,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),45.2,1.51,2460.55
0017-IUDMW,No,Female,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,3.89,8456.75
0018-NYROU,No,Female,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,2.3,351.5
0019-EFAEP,No,Female,0,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),101.3,3.38,7261.25
0019-GFNTW,No,Female,0,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),45.05,1.5,2560.1
